"File","University","Module","Mod","Date","Respondents","Overall"
"АОС_ДВГУПС+Путь_06.03.csv","ДВГУПС","Бесстыковой путь","М3","06.03.2026","5","10"
"АОС_ДВГУПС_П+Путь_13.02.csv","ДВГУПС","Контроль параметров рельсовой колеи","М2","13.02.2026","8","9,979"
"АОС_ДВГУПС_П+Путь_23.01.26.csv","ДВГУПС","Организация работы хозяйства пути и сооружений","М1","23.01.2026","7","9,952"
"АОС_ИрГУПС+Путь_06.03.csv","ИрГУПС","Бесстыковой путь","М3","06.03.2026","8","10"
"АОС_ИрГУПС_П+Путь_13.02.csv","ИрГУПС","Контроль параметров рельсовой колеи","М2","13.02.2026","11","9,742"
"АОС_ИрГУПС_П+Путь_20.03.csv","ИрГУПС","Неразрушающий контроль рельсов. Текущее обслуживание земляного полотна, его обустройств и искусственных сооружений","М4","20.03.2026","11","9,939"
"АОС_ИрГУПС_П+Путь_23.01.26.csv","ИрГУПС","Организация работы хозяйства пути и сооружений","М1","23.01.2026","14","9,81"
"АОС_МИИТ_П+Путь_13.02.26.csv","МИИТ","Контроль параметров рельсовой колеи","М2","13.02.2026","9","9,315"
"АОС_МИИТ_П+Путь_23.01.26.csv","МИИТ","Организация работы хозяйства пути и сооружений","М1","23.01.2026","14","9,417"
"АОС_П+Путь_ДВГУПС_27.03.csv","ДВГУПС","Неразрушающий контроль рельсов. Текущее обслуживание земляного полотна, его обустройств и искусственных сооружений","М4","27.03.2026","3","10"
"АОС_П+Путь_МИИТ_27.03.csv","МИИТ","Неразрушающий контроль рельсов. Текущее обслуживание земляного полотна, его обустройств и искусственных сооружений","М4","27.03.2026","9","9,389"
"АОС_П+Путь_ПривГУПС_27.03.csv","ПривГУПС","Неразрушающий контроль рельсов. Текущее обслуживание земляного полотна, его обустройств и искусственных сооружений","М4","27.03.2026","11","9,894"
"АОС_ПривГУПС+Путь_06.03.csv","ПривГУПС","Бесстыковой путь","М3","06.03.2026","15","9,856"
"АОС_ПривГУПС_П+Путь_13.02.26.csv","ПривГУПС","Контроль параметров рельсовой колеи","М2","13.02.2026","16","9,854"
"АОС_ПривГУПС_П+Путь_23.01.26.csv","ПривГУПС","Организация работы хозяйства пути и сооружений","М1","23.01.2026","17","9,907"
"АОС_РГУПС+Путь_06.03.csv","РГУПС","Бесстыковой путь","М3","06.03.2026","9","9,87"
"АОС_РГУПС_П+Путь_13.02.26.csv","РГУПС","Контроль параметров рельсовой колеи","М2","13.02.2026","8","9,958"
"АОС_РГУПС_П+Путь_20.03.csv","РГУПС","Неразрушающий контроль рельсов. Текущее обслуживание земляного полотна, его обустройств и искусственных сооружений","М4","20.03.2026","13","9,987"
"АОС_СГУПС+Путь_06.03.csv","СГУПС","Бесстыковой путь","М3","06.03.2026","15","9,785"
"АОС_СГУПС_П+Путь_13.02.26.csv","СГУПС","Контроль параметров рельсовой колеи","М2","13.02.2026","14","9,724"
"АОС_СГУПС_П+Путь_20.03.csv","СГУПС","Неразрушающий контроль рельсов. Текущее обслуживание земляного полотна, его обустройств и искусственных сооружений","М4","20.03.2026","9","9,796"
"АОС_СГУПС_П+Путь_23.01.26.csv","СГУПС","Организация работы хозяйства пути и сооружений","М1","23.01.2026","15","9,762"
"АОС_УрГУПС+Путь_06.03.csv","УрГУПС","Бесстыковой путь","М3","06.03.2026","17","9,902"
"АОС_УрГУПС_П+Путь_13.02.26.csv","УрГУПС","Контроль параметров рельсовой колеи","М2","13.02.2026","19","9,912"
"АОС_УрГУПС_П+Путь_20.03.csv","УрГУПС","Неразрушающий контроль рельсов. Текущее обслуживание земляного полотна, его обустройств и искусственных сооружений","М4","20.03.2026","15","9,938"
"АОС_УрГУПС_П+Путь_23.01.26.csv","УрГУПС","Организация работы хозяйства пути и сооружений","М1","23.01.2026","7","9,952"
